kepler_name,koi_period,koi_teq,koi_prad,koi_smass,koi_disposition,koi_score,koi_steff,koi_srad,koi_impact
Kepler-245 b,7.49018305,753.0,2.56,0.8230,CONFIRMED,1.0000,5103.00,0.7870,0.02
Kepler-245 d,36.2761238,445.0,3.03,0.8230,CONFIRMED,1.0000,5103.00,0.7870,0.035
Kepler-245 c,17.46087931,568.0,2.32,0.8230,CONFIRMED,1.0000,5103.00,0.7870,0.594
Kepler-705 b,56.0560754,233.0,1.94,0.5030,CONFIRMED,0.9960,3593.00,0.4910,0.018
Kepler-706 b,41.408316686,453.0,11.38,0.7860,CONFIRMED,0.9740,5522.00,0.7470,0.377
,39.74893077,552.0,14.21,1.0410,CANDIDATE,0.9940,6122.00,0.9640,0.881
Kepler-243 b,5.715425977,850.0,2.47,0.9270,CONFIRMED,1.0000,5237.00,0.8260,0.348
Kepler-108 b,49.18394185,669.0,8.2,1.2470,CONFIRMED,0.9590,5626.00,2.0570,0.035
Kepler-243 c,20.0261412,559.0,2.28,0.9270,CONFIRMED,0.9940,5237.00,0.8260,0.957
,13.61014819,733.0,19.02,0.8570,CANDIDATE,0.0000,5697.00,0.9030,1.081
,10.44331991,667.0,2.66,0.7690,FALSE POSITIVE,0.0000,4947.00,0.8020,0.23
Kepler-707 b,2.237489571,1160.0,1.41,0.9100,CONFIRMED,1.0000,5265.00,0.8100,0.128
,5.851520671,901.0,14.62,0.8040,FALSE POSITIVE,0.0000,5532.00,0.8060,0.211
Kepler-708 b,3.167893418,1221.0,2.62,1.0260,CONFIRMED,1.0000,5895.00,0.9400,0.026
Kepler-244 b,4.311780262,1038.0,3.11,0.9560,CONFIRMED,1.0000,5527.00,0.9270,0.196
Kepler-244 d,20.0504494,622.0,2.69,0.9560,CONFIRMED,1.0000,5527.00,0.9270,0.383
Kepler-244 c,9.76734503,791.0,2.67,0.9560,CONFIRMED,1.0000,5527.00,0.9270,0.9
,119.0207044,366.0,8.98,0.9040,CANDIDATE,1.0000,5453.00,1.0620,0.076
Kepler-108 c,190.3200468,426.0,7.78,1.2470,CONFIRMED,0.9870,5626.00,2.0570,0.812
,2.861159894,1355.0,4.37,1.0900,FALSE POSITIVE,0.0000,6126.00,1.0210,0.965
Kepler-82 b,26.44439337,562.0,3.91,0.9150,CONFIRMED,1.0000,5427.00,0.9290,0.03
Kepler-82 c,51.53997972,450.0,5.51,0.9150,CONFIRMED,0.9830,5427.00,0.9290,0.183
Kepler-82 e,5.902245782,926.0,2.43,0.9150,CONFIRMED,1.0000,5427.00,0.9290,0.209
Kepler-82 d,2.382951591,1253.0,1.86,0.9150,CONFIRMED,1.0000,5427.00,0.9290,0.479
Kepler-712 b,21.02250608,521.0,3.07,0.7890,CONFIRMED,1.0000,5067.00,0.7500,0.036
Kepler-245 e,3.219814777,998.0,1.69,0.8230,CONFIRMED,1.0000,5103.00,0.7870,0.06
Kepler-28 b,5.912273234,585.0,1.73,0.5860,CONFIRMED,1.0000,4072.00,0.5700,0.17
Kepler-28 c,8.98581901,509.0,1.65,0.5860,CONFIRMED,1.0000,4072.00,0.5700,0.008
,12.940668656,723.0,22.94,0.8950,CANDIDATE,0.0000,5875.00,0.8090,0.897
,20.5452375,742.0,2.41,0.9370,FALSE POSITIVE,0.5730,5670.00,1.2640,0.95
Kepler-46 b,33.60123371,495.0,8.46,0.8820,CONFIRMED,1.0000,5149.00,0.9300,0.67
Kepler-46 d,6.76652928,845.0,1.97,0.8820,CONFIRMED,1.0000,5149.00,0.9300,0.429
Kepler-710 b,4.347288783,1174.0,2.36,1.0140,CONFIRMED,1.0000,5754.00,1.1220,0.025
Kepler-246 b,4.601811819,896.0,2.35,0.7930,CONFIRMED,1.0000,4986.00,0.8330,0.567
Kepler-246 c,11.18719905,667.0,1.55,0.7930,CONFIRMED,0.9970,4986.00,0.8330,0.387
Kepler-1729 b,4.220965778,595.0,2.62,0.5440,CONFIRMED,1.0000,3837.00,0.5170,0.705
,6.998099523,853.0,588.66,0.9260,FALSE POSITIVE,0.0000,5612.00,0.8290,7.361
Kepler-81 b,5.95489993,635.0,2.33,0.6400,CONFIRMED,1.0000,4261.00,0.6330,0.327
Kepler-81 c,12.03987488,502.0,2.18,0.6400,CONFIRMED,1.0000,4261.00,0.6330,0.286
Kepler-81 d,20.83762895,418.0,1.42,0.6400,CONFIRMED,0.9980,4261.00,0.6330,0.706
,8.8111022,1399.0,63.66,1.3330,FALSE POSITIVE,0.0000,6200.00,2.4040,1.223
Kepler-711 b,23.58917143,487.0,3.16,0.6970,CONFIRMED,1.0000,4919.00,0.7210,0.926
Kepler-109 b,6.481633073,1145.0,2.54,1.0090,CONFIRMED,1.0000,5945.00,1.3020,0.833
Kepler-716 b,10.37168928,720.0,3.2,0.8220,CONFIRMED,1.0000,5121.00,0.8880,0.537
Kepler-716 c,3.96996298,992.0,1.78,0.8220,CONFIRMED,1.0000,5121.00,0.8880,0.836
Kepler-717 b,4.40841331,1139.0,2.66,0.9680,CONFIRMED,1.0000,6007.00,0.9610,0.899
,7.9426176,878.0,4.68,1.0360,FALSE POSITIVE,0.0000,5811.00,0.9260,0.942
Kepler-712 c,226.8904775,236.0,4.53,0.7890,CONFIRMED,1.0000,5067.00,0.7500,0.731
,1.956811408,1109.0,21.58,0.6020,FALSE POSITIVE,0.0000,5209.00,0.6030,1.091
,2.688899233,929.0,12.04,0.6990,CANDIDATE,0.9970,4820.00,0.6390,0.001
Kepler-247 c,9.439459486,686.0,4.16,0.8910,CONFIRMED,1.0000,5097.00,0.7790,0.049
Kepler-95 b,11.523067458,927.0,3.13,1.0530,CONFIRMED,1.0000,5644.00,1.4110,0
Kepler-247 d,20.47748843,530.0,2.92,0.8910,CONFIRMED,0.0000,5097.00,0.7790,0.497
Kepler-247 b,3.336123113,970.0,1.74,0.8910,CONFIRMED,1.0000,5097.00,0.7790,0.252
Kepler-54 b,8.01078456,453.0,1.72,0.4840,CONFIRMED,1.0000,3713.00,0.4700,0.192
Kepler-54 c,12.07134205,395.0,1.29,0.4840,CONFIRMED,1.0000,3713.00,0.4700,0.014
Kepler-54 d,20.99587872,328.0,1.3,0.4840,CONFIRMED,0.9860,3713.00,0.4700,0.228
Kepler-713 b,7.41113177,905.0,2.45,1.0140,CONFIRMED,1.0000,5849.00,0.9190,0.712
,1.000747038,1620.0,4.14,0.7180,FALSE POSITIVE,0.0000,5472.00,0.7900,0.908
Kepler-75 b,8.884922995,770.0,10.51,0.8210,CONFIRMED,0.9990,5332.00,0.8430,0.069
Kepler-714 b,8.09888906,986.0,8.95,1.1690,CONFIRMED,1.0000,6214.00,1.0760,0.018
Kepler-715 b,10.00653012,876.0,3.52,1.0790,CONFIRMED,1.0000,6063.00,1.0010,0.862
Kepler-448 b,17.855221681,911.0,13.16,1.3860,CONFIRMED,0.6350,6823.00,1.3670,0.075
,12.732624065,432.0,4.87,0.5630,CANDIDATE,1.0000,3950.00,0.5410,0.811
,83.92494032,226.0,4.78,0.5260,CANDIDATE,0.9660,3960.00,0.5090,0.658
Kepler-719 b,5.007316661,998.0,6.96,0.9140,CONFIRMED,1.0000,5865.00,0.8270,0.344
Kepler-55 d,2.211116989,931.0,1.85,0.7100,CONFIRMED,1.0000,4500.00,0.6460,0.69
Kepler-55 b,27.9541337,400.0,1.9,0.7100,CONFIRMED,0.9970,4500.00,0.6460,0.063
Kepler-110 b,12.69104387,1008.0,2.57,1.0190,CONFIRMED,0.4150,5869.00,1.6260,0.008
,4.409409243,1101.0,10.95,0.8110,FALSE POSITIVE,0.2280,5600.00,0.9750,0.028
Kepler-248 c,16.23947096,598.0,4.14,0.9370,CONFIRMED,1.0000,5191.00,0.8370,0.043
Kepler-248 b,6.308201629,819.0,2.96,0.9370,CONFIRMED,1.0000,5191.00,0.8370,0.03
Kepler-718 b,2.052349884,1497.0,13.12,1.0490,CONFIRMED,1.0000,5855.00,1.0800,0.437
Kepler-83 b,9.7704486,460.0,2.23,0.5080,CONFIRMED,1.0000,3906.00,0.5090,0.09
Kepler-83 d,5.169804269,569.0,1.66,0.5080,CONFIRMED,1.0000,3906.00,0.5090,0.351
Kepler-109 c,21.22261195,771.0,2.48,1.0090,CONFIRMED,1.0000,5945.00,1.3020,0.02
Kepler-83 c,20.09017037,362.0,2.25,0.5080,CONFIRMED,1.0000,3906.00,0.5090,0.886
Kepler-249 c,7.11373257,429.0,1.16,0.4400,CONFIRMED,0.9990,3561.00,0.4110,0.334
Kepler-249 b,3.306551643,554.0,0.91,0.4400,CONFIRMED,0.9990,3561.00,0.4110,0.001
Kepler-249 d,15.36845737,332.0,1.11,0.4400,CONFIRMED,0.9980,3561.00,0.4110,0.115
Kepler-1730 b,13.81020318,833.0,4.56,1.0090,CONFIRMED,1.0000,5942.00,1.1420,0.791
Kepler-722 b,4.093578461,1182.0,2.85,1.0770,CONFIRMED,1.0000,6077.00,0.9990,0.93
Kepler-722 c,105.145959,401.0,3.43,1.0770,CONFIRMED,0.9990,6077.00,0.9990,0.964
Kepler-252 c,10.8484518,499.0,2.34,0.6090,CONFIRMED,1.0000,4201.00,0.5910,0.21
Kepler-252 b,6.66833241,587.0,1.18,0.6090,CONFIRMED,1.0000,4201.00,0.5910,0.644
Kepler-723 b,4.082274889,1016.0,10.55,0.8860,CONFIRMED,0.9970,5655.00,0.7940,0.093
,3.886655224,1010.0,1.87,0.8130,CANDIDATE,1.0000,5662.00,0.7380,0.649
Kepler-55 c,42.1406089,349.0,1.85,0.7100,CONFIRMED,1.0000,4500.00,0.6460,0.045
